{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 40, 'DT__min_samples_leaf': 1, 'DT__min_samples_split': 2, 'DT__random_state': 42}
Metric                   Score Mean               Score Variance           Score Std                
Accuracy                 0.7182452299283982       0.00019653555685090882   0.014019113982378088     
Balanced Accuracy        0.6881257631436525       0.0004894328825638933    0.022123130035415273     
Geometric Mean           0.8270993589396067       0.0001799167404370956    0.013413304605394437     
Average Precision        0.51315536501467         0.0007894247001457065    0.02809670265610729      
Precision                0.6645777334913305       0.0009362258421724192    0.030597807800109133     
Recall                   0.6881257631436525       0.0004894328825638933    0.022123130035415273     
F1                       0.6645028066187681       0.0006708495260277714    0.02590076303948923      

Size    Mean Train Score         Variance Train Score     Std Train Score          Train Scores             
0       0.9288288288288289       0.00010875740605470344   0.010428681894405612     [0.91441441 0.92792793 0.92342342 0.93243243 0.94594595]
1       0.9496881496881496       4.122465660927175e-05    0.006420643005904608     [0.93901594 0.94663895 0.95772696 0.95148995 0.95356895]
2       0.9428337428337427       6.1012542585024536e-05   0.007811052591362097     [0.93161343 0.94430794 0.93652744 0.94881245 0.95290745]
3       0.9512932287125835       9.073955694874214e-06    0.003012300731147907     [0.94652717 0.95088637 0.95466434 0.95437373 0.95001453]
4       0.96                     1.0015420826231648e-05   0.003164714967612668     [0.95427928 0.96171171 0.96058559 0.95968468 0.96373874]

Size    Mean Test Score          Variance Test Score      Std Test Score           Test Scores              
0       0.18194987066274193      0.00027521323786183885   0.016589552069354942     [0.17821782 0.18288288 0.21261261 0.17207207 0.16396396]
1       0.34768563342820763      0.00032694805297076994   0.018081704924336365     [0.34473447 0.37567568 0.35855856 0.32342342 0.33603604]
2       0.4777515589396778       0.00016814400178655794   0.012967035196472552     [0.47884788 0.47477477 0.49189189 0.45495495 0.48828829]
3       0.6333991777556134       8.584330950105641e-05    0.009265166458356613     [0.63456346 0.63153153 0.65045045 0.62522523 0.62522523]
4       0.7155425272256956       0.00020880179443156979   0.014449975585846842     [0.7389739  0.72432432 0.70990991 0.6981982  0.70630631]
