{'LGBM__class_weight': None, 'LGBM__learning_rate': 0.1, 'LGBM__max_depth': 10, 'LGBM__n_estimators': 200, 'LGBM__random_state': 42, 'LGBM__verbose': -1}
Metric                   Score Mean               Score Variance           Score Std                
Accuracy                 0.1361889702483762       0.000172345988917713     0.013128061125608496     
Balanced Accuracy        0.1936052126345126       0.0010556411817657274    0.03249063221554372      
Geometric Mean           0.43486010891330357      0.0012245879975424645    0.034994113755637025     
Average Precision        0.17404460861074916      0.0007821471356663738    0.027966893564827212     
Precision                0.1319073412985858       0.00024183363813421715   0.015551001193949449     
Recall                   0.1936052126345126       0.0010556411817657274    0.03249063221554372      
F1                       0.12141015234971433      0.0002451924753814009    0.01565862303593138      

Size    Mean Train Score         Variance Train Score     Std Train Score          Train Scores             
0       0.14864864864864863      0.0007771284798311826    0.02787702422840685      [0.18693694 0.17792793 0.12162162 0.12612613 0.13063063]
1       0.09230769230769231      0.00016912482608948308   0.01300480011724452      [0.08108108 0.07969508 0.09494109 0.09009009 0.11573112]
2       0.12416052416052417      3.524185342367159e-05    0.005936484938384969     [0.12981163 0.11875512 0.11629812 0.13144963 0.12448812]
3       0.15803545480964837      0.000252604602802876     0.015893539656189743     [0.14850334 0.18744551 0.16216216 0.14705028 0.14501598]
4       0.17472972972972972      4.827936044152257e-05    0.006948335084142285     [0.16261261 0.17725225 0.17995495 0.17184685 0.18198198]

Size    Mean Test Score          Variance Test Score      Std Test Score           Test Scores              
0       0.03981187307919981      5.9472145738005406e-05   0.0077118185752781685    [0.04410441 0.03693694 0.03603604 0.02972973 0.05225225]
1       0.0426976751729227       0.0001529284691784298    0.01236642507673215      [0.02790279 0.03693694 0.03873874 0.04504505 0.06486486]
2       0.078000178396218        0.0002851350018670658    0.01688594095296634      [0.0990099  0.07387387 0.0963964  0.05855856 0.06216216]
3       0.11493906147371494      0.0002899810383626467    0.017028829623983166     [0.08820882 0.14054054 0.10900901 0.11531532 0.12162162]
4       0.13763041168981766      0.0001334666590563119    0.011552777114456588     [0.15121512 0.12972973 0.15225225 0.12702703 0.12792793]
