{'LGBM__class_weight': None, 'LGBM__learning_rate': 0.1, 'LGBM__max_depth': 40, 'LGBM__n_estimators': 200, 'LGBM__random_state': 42, 'LGBM__verbose': -1}
Metric                   Score Mean               Score Variance           Score Std                
Accuracy                 0.7906637150201506       0.00020869353064110677   0.014446228941876381     
Balanced Accuracy        0.7313912640838136       0.00044511578792098046   0.02109776736815961      
Geometric Mean           0.8533298586318991       0.00015445709611420022   0.012428076927433312     
Average Precision        0.7856865896661753       0.0006701449427617816    0.0258871578733893       
Precision                0.7636383796683776       0.0011326031719536872    0.03365417020153204      
Recall                   0.7313912640838136       0.00044511578792098046   0.02109776736815961      
F1                       0.7295871575174087       0.0006960185114651906    0.026382162751851686     

Size    Mean Train Score         Variance Train Score     Std Train Score          Train Scores             
0       0.9427927927927927       0.00011484457430403324   0.01071655608411738      [0.93468468 0.93918919 0.93018018 0.95045045 0.95945946]
1       0.9575883575883577       2.4857737955451307e-05   0.004985753499266817     [0.94871795 0.95772696 0.96396396 0.95772696 0.95980596]
2       0.9558558558558558       1.7936185012351965e-05   0.0042351133411458975    [0.94963145 0.95618346 0.95290745 0.95904996 0.96150696]
3       0.9636152281313572       1.136440318598539e-05    0.0033711130485323967    [0.95902354 0.96309212 0.969195   0.9648358  0.96192967]
4       0.9679729729729731       1.5286908530151687e-05   0.003909847635158138     [0.96103604 0.96869369 0.97252252 0.96711712 0.9704955 ]

Size    Mean Test Score          Variance Test Score      Std Test Score           Test Scores              
0       0.24049967158878047      0.000133892677427384     0.011571200345140689     [0.22682268 0.22792793 0.24774775 0.25675676 0.24324324]
1       0.40677370439746674      9.671600664322632e-05    0.009834429655207581     [0.40594059 0.40990991 0.41441441 0.38828829 0.41531532]
2       0.5916046739809117       0.0001329892614340083    0.011532097009391151     [0.59405941 0.60720721 0.58828829 0.57207207 0.5963964 ]
3       0.7213078064563214       0.00027641041848686776   0.016625595282180657     [0.74167417 0.73243243 0.72342342 0.69279279 0.71621622]
4       0.7906637150201508       0.000249274652303309     0.015788434130822124     [0.81638164 0.79459459 0.78468468 0.76756757 0.79009009]
