{'RF__class_weight': None, 'RF__criterion': 'gini', 'RF__max_depth': 20, 'RF__n_estimators': 100, 'RF__random_state': 42}
Metric                   Score Mean               Score Variance           Score Std                
Accuracy                 0.7821988144760421       0.0002115512030966191    0.01454479986444018      
Balanced Accuracy        0.7078883284112887       0.0006186280234974608    0.024872233986866978     
Geometric Mean           0.8393930347765428       0.00022049643877127483   0.014849122491624709     
Average Precision        0.7542473587243925       0.0005279814186908127    0.022977846258751333     
Precision                0.7518365942455467       0.0018055183449363719    0.04249139142151469      
Recall                   0.7078883284112887       0.0006186280234974608    0.024872233986866978     
F1                       0.7164040162846305       0.0010830355663766728    0.032909505714560236     

Size    Mean Train Score         Variance Train Score     Std Train Score          Train Scores             
0       0.9977477477477477       2.029056083110096e-06    0.0014244493964722285    [0.99774775 1.         0.99774775 0.9954955  0.99774775]
1       0.9785169785169785       7.29979939959152e-06     0.002701814094195143     [0.97505198 0.97782398 0.97782398 0.97851698 0.98336798]
2       0.9846027846027846       1.7842278284538933e-06   0.0013357499123914974    [0.98361998 0.98321048 0.98402948 0.98525799 0.98689599]
3       0.9872711421098517       9.256380716290424e-07    0.0009621008635424055    [0.98605057 0.98634118 0.98779425 0.98750363 0.98866609]
4       0.9885135135135135       4.058112166220291e-07    0.0006370331362040982    [0.98783784 0.98806306 0.98873874 0.98828829 0.98963964]

Size    Mean Test Score          Variance Test Score      Std Test Score           Test Scores              
0       0.2678799231274479       1.4285006269652964e-05   0.0037795510672106237    [0.26642664 0.27027027 0.27387387 0.26576577 0.26306306]
1       0.4201042806983401       3.376251621528923e-05    0.005810552143754432     [0.42124212 0.42162162 0.42252252 0.40900901 0.42612613]
2       0.562059178890862        0.00018759631274085857   0.013696580330172148     [0.57155716 0.56486486 0.56306306 0.53603604 0.57477477]
3       0.7099554820346899       0.00040106988896198084   0.020026729362578925     [0.74707471 0.70540541 0.70810811 0.68648649 0.7027027 ]
4       0.7794961117733394       0.00021467116447186594   0.014651660809337143     [0.79657966 0.78828829 0.76576577 0.75855856 0.78828829]
